campo_64;campo_34;campo_36;campo_38;campo_53;campo_80;campo_39;campo_62;campo_61;campo_100;campo_22;campo_75;campo_70;campo_71;campo_72;campo_73;campo_69;campo_68;campo_84;campo_83;campo_74;campo_87;campo_86;campo_85;campo_94;campo_93;campo_7;campo_35;campo_37;campo_91;campo_101;campo_92;campo_26;campo_23;campo_97;campo_10;campo_11;campo_12;campo_13;campo_51;campo_81;campo_77;campo_76;campo_78;campo_79;campo_95;campo_46;campo_20;campo_2;campo_104;campo_60_cat;Presenta_union
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;691697.0;2.0;0.0;0.0;0.0;2.0;0.0;84497494.0;92918136.0;93973392.0;0.0;1430485.0;0.0;11477526.0;13180408.0;10956094.0;100420.0;751991.0;2818.0;549148.0;3957845.0;0.0;2.0;2.0;1.0;12.0;6.0;943472768.0;52503288.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1055256.0;691697.0;10624844.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;6.0;4;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0;6043477430.0;6080573433.0;6083558941.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;2.0;439920912384.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2985508.0;-26005722.0;0.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;15.0;5;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;0.0;0.0;0.0;1760039.0;2.0;0.0;0.0;0.0;0.0;0.0;2103940.0;12619176.0;10866269.0;0.0;0.0;34142.0;1707411.0;1871949.0;2400000.0;0.0;0.0;0.0;414001.0;0.0;1.0;0.0;0.0;0.0;12.0;3.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1762208.0;1760039.0;2400000.0;EMISBH;PERSONA NATURAL;1.0;29.0;6;1
Alto;GANADERIA;0.0;0.0;0.0;0.0;9.0;31.0;73.0;0.0;3.0;500610442.0;11782887749.0;13090510015.0;13485846691.0;1481993105.0;3010734.0;0.0;539777717.0;880113270.0;878922524.0;231692231.0;158806431.0;47087178.0;1265561740.0;886288749.0;1.0;0.0;0.0;11.0;12.0;199.0;61665014144.0;508749120.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;263671585.0;263671585.0;-382618956.0;-410377685.0;835455400.0;AGROP;PERSONA JURIDICA COMERCIAL;1.0;29.0;6;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;2.0;0.0;1261399043.0;1369540492.0;1378613668.0;0.0;40000.0;0.0;32583149.0;47436097.0;0.0;0.0;0.0;425991.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1463188680.0;1224711552.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;-9073176.0;-13496003.0;4000000.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;21.0;5;1
Bajo;ACTIVIDADES DE CONSULTORIA DE GESTION;0.0;0.0;0.0;463704.0;2.0;0.0;1.0;0.0;2.0;861295.0;272132885.0;382524345.0;382857555.0;0.0;0.0;127203.0;8853931.0;25319707.0;25319707.0;2081.0;0.0;0.0;2908233.0;0.0;0.0;0.0;0.0;0.0;12.0;3.0;373639168.0;345618848.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-3557176.0;463704.0;0.0;ACTEMP;PERSONA JURIDICA COMERCIAL;0.0;19.0;5;1
Medio;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2825578.0;0.0;0.0;4954045.0;0.0;36484931.0;299364788.0;0.0;1.0;2.0;0.0;0.0;12.0;80.0;2564536576.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2825578.0;-215204.0;0.0;NOVATOS;PERSONA JURIDICA COMERCIAL;0.0;3.0;3;1
Clave;REPARACION DE PRODUCTOS ELABORADOS DE METAL, MAQUINARIA Y EQUIPO;0.0;0.0;0.0;0.0;7.0;35.0;61.0;0.0;4.0;111868839.0;616053241.0;1116626029.0;1170590131.0;0.0;4546200.0;0.0;489841028.0;559666904.0;551701247.0;63029202.0;127017477.0;664.0;335633901.0;637916932.0;0.0;0.0;0.0;11.0;12.0;131.0;16714865920.0;522125856.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;119288874.0;119288874.0;-53964102.0;-49239380.0;524116185.0;MANUFACT;PERSONA JURIDICA COMERCIAL;0.0;24.0;5;1
Medio;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25566771.0;0.0;0.0;134561953.0;0.0;1.0;1.0;1.0;0.0;12.0;1.0;7144786368.0;4790975488.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;1.0;29.0;6;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;589096504.0;622118533.0;620992429.0;0.0;76856.0;0.0;7766987.0;23897411.0;22923876.0;1560909.0;3211471.0;0.0;8144176.0;17725563.0;0.0;0.0;0.0;2.0;12.0;7.0;1575630080.0;144099040.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;-1258299.0;-10809468.0;9634880.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;4.0;3;1
