mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.015552282333374023,0.0002490627184403014,0.0023910204569498696,1.930487207733621e-05,3,6,10,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 10}",0.7647058823529411,0.835820895522388,0.8208955223880597,0.807140766754463,0.030618417675506177,7
0.04036521911621094,0.010991719291016581,0.0036629041035970054,0.0009258380363653915,3,6,20,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 20}",0.75,0.7910447761194029,0.8507462686567164,0.7972636815920398,0.04136390335401964,19
0.07670712471008301,0.014669526008097462,0.0053551991780598955,0.0017685722030469117,3,6,50,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 50}",0.7941176470588235,0.7910447761194029,0.835820895522388,0.8069944395668714,0.0204219498933392,13
0.12325588862101237,0.0019645800610784397,0.006052573521931966,0.0001881475936511734,3,6,100,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 100}",0.7794117647058824,0.8059701492537313,0.8507462686567164,0.8120427275387767,0.02943705169508765,6
0.018255869547526043,0.005867042274921901,0.0030205249786376953,0.0008504974099075247,3,8,10,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 10}",0.8382352941176471,0.7910447761194029,0.8656716417910447,0.8316505706760315,0.030820028196993778,1
0.026766538619995117,0.0006463124732742064,0.002800146738688151,2.4926874967232925e-05,3,8,20,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 20}",0.7352941176470589,0.7910447761194029,0.8507462686567164,0.792361720807726,0.047142341553167606,21
0.08393740653991699,0.016757946670321155,0.003982226053873698,1.700793469670033e-05,3,8,50,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 50}",0.7941176470588235,0.7761194029850746,0.835820895522388,0.8020193151887621,0.025005257076896003,18
0.1181040604909261,0.0007786209194417515,0.005782683690388997,4.44219874591122e-05,3,8,100,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 100}",0.7794117647058824,0.8059701492537313,0.8208955223880597,0.8020924787825577,0.017156199735968356,15
0.0150453249613444,0.0006776894883412683,0.0024154980977376304,0.0001760937452470797,4,6,10,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 10}",0.8088235294117647,0.8059701492537313,0.8507462686567164,0.8218466491074041,0.020468291772931916,4
0.027088244756062824,0.000910672719920057,0.0027768611907958984,0.0001248817308969313,4,6,20,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 20}",0.8235294117647058,0.7910447761194029,0.8656716417910447,0.8267486098917178,0.030551210531707087,3
0.06506188710530598,0.0020028478746836626,0.004874467849731445,0.0011111861196469513,4,6,50,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 50}",0.7794117647058824,0.8059701492537313,0.835820895522388,0.8070676031606672,0.023042002425668926,11
0.12345655759175618,0.0033178105390406732,0.006114880243937175,0.0003519498280088333,4,6,100,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 100}",0.7794117647058824,0.8059701492537313,0.8656716417910447,0.8170178519168861,0.036071506754287726,5
0.014281272888183594,0.0003598792944997212,0.002203782399495443,1.1254322240487794e-05,4,8,10,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 10}",0.7205882352941176,0.8208955223880597,0.8208955223880597,0.7874597600234123,0.04728530860436821,24
0.025902430216471355,0.00015094304323683507,0.002650022506713867,2.9007484923554716e-05,4,8,20,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 20}",0.7941176470588235,0.7761194029850746,0.8059701492537313,0.7920690664325432,0.012272306904455214,23
0.06165774663289388,0.0014223545601966161,0.004554033279418945,0.0009028849157891977,4,8,50,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 50}",0.7794117647058824,0.8059701492537313,0.835820895522388,0.8070676031606672,0.023042002425668926,11
0.12810349464416504,0.006449300077446149,0.007203817367553711,0.0011826831098312386,4,8,100,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 100}",0.7647058823529411,0.8059701492537313,0.8208955223880597,0.797190517998244,0.023764544396443453,20
0.015075127283732096,0.0012407758294970637,0.002468665440877279,0.0002617965072402124,5,6,10,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 10}",0.7647058823529411,0.835820895522388,0.8208955223880597,0.807140766754463,0.030618417675506177,7
0.027021487553914387,0.0009475505902826263,0.002724170684814453,0.00014131083463517116,5,6,20,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 20}",0.7647058823529411,0.8208955223880597,0.835820895522388,0.807140766754463,0.030618417675506177,7
0.06346583366394043,0.0006850244174772816,0.003969271977742513,5.175178407472237e-05,5,6,50,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 50}",0.75,0.8059701492537313,0.8208955223880597,0.7922885572139303,0.03051702523976443,22
0.13140392303466797,0.010833367511794608,0.0059019724527994795,5.6732378753186046e-05,5,6,100,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 100}",0.7794117647058824,0.8208955223880597,0.8059701492537313,0.8020924787825577,0.017156199735968356,15
0.016636212666829426,0.0021118275649842687,0.0027015209197998047,0.0006317129901539739,5,8,10,"{'max_depth': 5, 'min_samples_leaf': 8, 'n_estimators': 10}",0.7647058823529411,0.8208955223880597,0.8208955223880597,0.8021656423763535,0.026488050334175662,14
