campo_64,campo_34,campo_36,campo_38,campo_53,campo_100,campo_6,campo_97,campo_10,campo_11,campo_12,campo_13,campo_51,campo_81,campo_46,campo_20,campo_1,campo_104,campo_60_cat,Presenta_union,campo_83_indpos,campo_95_indpos,Componente 1,Componente 2,Componente 3,Componente 4,Componente 5,Componente 6,Componente 7,Componente 8,Componente 9
3,9,0,0,0,-0.23145502494313785,0,1,1,1,1,0,0,-0.13130643285972257,9,0,1,0.4133690528074689,2,1,0,0,3.7574923503491413,0.21482635573532288,2.058806305782255,0.07240006455820856,-1.8409865343422087,-1.9879660313449476,-1.072327254928049,-0.9134547135724994,-0.9157336152795427
1,14,1,1,1,-0.23145502494313785,0,1,1,1,0,0,0,-0.13130643285972257,10,0,0,-1.247683319940588,0,1,0,0,-2.076008632952477,-1.611127796240615,2.0136499938431753,-0.2894610946325329,-0.4934917322752061,0.1945369443945386,1.3854229074766748,-1.4843201674409374,0.48225396338195464
1,14,1,1,0,-0.23145502494313785,0,0,1,0,1,1,0,-0.13130643285972257,10,0,0,-0.25782563405283004,1,1,0,0,-2.742064767529538,-2.591272821406236,1.1702137329968016,-0.43239737185614885,0.2058977791557526,-0.5726227264418113,-0.530596178904845,1.5006544441688738,-0.7488279119850754
1,8,1,1,0,-0.23145502494313785,0,0,1,1,0,0,0,-0.13130643285972257,4,0,0,0.11684700542272566,2,1,0,0,-1.1859933893699615,-2.3402107070310105,-3.0629256753540317,-0.6398269441615473,-0.5145805533790254,-0.5298084954353465,-0.37329921300262947,-1.0939292064952735,0.3182111158950767
1,11,1,1,0,-0.23145502494313785,0,1,1,1,0,0,0,-0.13130643285972257,8,0,0,-1.9771743775608455,0,1,0,0,-3.7468038631131777,-0.09884069707086454,0.34939394504896515,-0.2444669394717882,1.1920385925636705,0.13388603758807013,0.7828720727016664,-1.2923727657104926,-0.7138222842777283
1,11,1,1,0,-0.23145502494313785,0,1,1,1,0,0,0,-0.13130643285972257,2,0,1,0.49994481844869804,2,1,0,0,-1.1530527048155466,-3.7139215274910646,-2.668216347609511,-0.13218232047511883,-0.1648931527747885,0.19356591370780446,-0.8484833010413233,-0.49023940086633117,0.3170912451318833
3,0,0,0,0,-0.23145502494313785,1,1,1,1,0,1,0,-0.13130643285972257,5,0,1,0.49994481844869804,2,1,0,0,-1.1884203517920484,0.4807569759534792,1.6443779206264348,0.611075459726973,-1.6902749808071689,1.0262051769333609,-0.49538427450243505,-0.14480082287314805,0.28013645574182133
1,5,0,0,0,-0.23145502494313785,0,1,1,1,0,0,0,-0.13130643285972257,11,0,0,-0.7671798441300159,1,1,0,0,4.0673398014678845,-0.16075355636373978,-1.0436886149193825,1.5801200292599897,0.21615490656529784,-1.4082195016324304,2.2763317963297047,-0.5172404603972098,-1.4167431313458407
3,20,0,0,0,-0.23145502494313785,0,1,1,1,0,1,0,-0.13130643285972257,4,0,1,1.3110616791298872,3,1,0,0,-2.2571145420622467,-0.0771084512590044,1.9164706230921407,-0.16802495367244857,1.7872186599806004,2.08152815655497,-1.5326557980951745,-1.1560841123656365,-1.5908570793279841
3,8,1,1,0,-0.23145502494313785,1,1,1,1,1,1,0,-0.13130643285972257,4,1,1,1.3110616791298872,3,1,0,0,-1.0447120446750309,1.5944204089894665,-0.8360735369305697,1.4738153553781246,3.2800890236350564,-0.33595040151846445,1.4769104769364503,0.7692430821341394,1.0436962635876952
