mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.020474831263224285,0.006141716884331322,0.003200531005859375,0.0007664910985371098,3,6,10,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 10}",0.7794117647058824,0.7611940298507462,0.8208955223880597,0.7871671056482294,0.02498234093174295,24
0.03377016385396322,0.008208774048403622,0.0030095577239990234,9.336292153421677e-05,3,6,20,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 20}",0.7794117647058824,0.8208955223880597,0.8805970149253731,0.826968100673105,0.04153128034599336,1
0.08277002970377605,0.027477202100790323,0.00543061892191569,0.0013933437739832146,3,6,50,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 50}",0.8088235294117647,0.8059701492537313,0.8507462686567164,0.8218466491074041,0.020468291772931916,4
0.12655997276306152,0.002978815104199731,0.005988756815592448,0.000147014179362324,3,6,100,"{'max_depth': 3, 'min_samples_leaf': 6, 'n_estimators': 100}",0.7794117647058824,0.8059701492537313,0.8507462686567164,0.8120427275387767,0.02943705169508765,11
0.020052671432495117,0.005762362015820246,0.00314180056254069,0.0007196261170551464,3,8,10,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 10}",0.7794117647058824,0.7761194029850746,0.8208955223880597,0.7921422300263389,0.0203760280338458,21
0.03628643353780111,0.010562235144912193,0.0035892327626546225,0.0009077069340823649,3,8,20,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 20}",0.7941176470588235,0.7910447761194029,0.8507462686567164,0.8119695639449809,0.027447953842116422,14
0.08125265439351399,0.027791307161174564,0.005004326502482097,0.0014450528553517977,3,8,50,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 50}",0.7794117647058824,0.8059701492537313,0.835820895522388,0.8070676031606672,0.023042002425668926,16
0.12022837003072102,0.0038479700310953763,0.005951325098673503,0.00010624971496803937,3,8,100,"{'max_depth': 3, 'min_samples_leaf': 8, 'n_estimators': 100}",0.7794117647058824,0.7910447761194029,0.8507462686567164,0.8070676031606672,0.03124847839787396,16
0.01868470509847005,0.00635718656216995,0.0029001235961914062,0.0008566092772036206,4,6,10,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 10}",0.7647058823529411,0.8059701492537313,0.8955223880597015,0.8220661398887913,0.05460494621811394,3
0.025983651479085285,0.00027078979572282895,0.002766688664754232,4.169364666060663e-05,4,6,20,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 20}",0.75,0.8208955223880597,0.8805970149253731,0.8171641791044776,0.05338125306934063,8
0.0741724967956543,0.016987538862818497,0.004064400990804036,0.00012082864993553089,4,6,50,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 50}",0.7941176470588235,0.7910447761194029,0.7910447761194029,0.7920690664325432,0.0014485652526502301,22
0.1374963919321696,0.015608357825577927,0.007601340611775716,0.0025098733513713428,4,6,100,"{'max_depth': 4, 'min_samples_leaf': 6, 'n_estimators': 100}",0.7647058823529411,0.8059701492537313,0.8208955223880597,0.797190517998244,0.023764544396443453,20
0.014329115549723307,0.00027532218090536484,0.0026748975118001304,0.0004821924189209008,4,8,10,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 10}",0.7647058823529411,0.8208955223880597,0.8507462686567164,0.8121158911325724,0.0356702346741413,10
0.027191638946533203,0.001795818887716998,0.0027608871459960938,9.901310505615249e-06,4,8,20,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 20}",0.8088235294117647,0.835820895522388,0.8208955223880597,0.8218466491074041,0.011042129195493236,4
0.061682701110839844,0.00016883683124819233,0.0040658315022786455,9.59616928118807e-05,4,8,50,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 50}",0.7352941176470589,0.8059701492537313,0.8208955223880597,0.7873865964296166,0.03733551883558209,23
0.11947186787923177,0.0007208133611082005,0.005934874216715495,0.00011589551953447825,4,8,100,"{'max_depth': 4, 'min_samples_leaf': 8, 'n_estimators': 100}",0.8088235294117647,0.8059701492537313,0.8507462686567164,0.8218466491074041,0.020468291772931916,4
0.018982887268066406,0.00643961524300924,0.0028998851776123047,0.0008061234319868743,5,6,10,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 10}",0.7794117647058824,0.8507462686567164,0.8059701492537313,0.8120427275387767,0.02943705169508765,11
0.03464214007059733,0.011950562340093814,0.003505865732828776,0.0010213029216674292,5,6,20,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 20}",0.7941176470588235,0.7910447761194029,0.8507462686567164,0.8119695639449809,0.027447953842116422,14
0.06282925605773926,0.0009792845129633755,0.004014174143473308,4.626972410355591e-05,5,6,50,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 50}",0.7794117647058824,0.8208955223880597,0.835820895522388,0.8120427275387767,0.023864569167855395,11
0.13057518005371094,0.010065457705851249,0.005907456080118815,1.6897283124881634e-05,5,6,100,"{'max_depth': 5, 'min_samples_leaf': 6, 'n_estimators': 100}",0.7794117647058824,0.7910447761194029,0.835820895522388,0.8020924787825577,0.024317844072046096,18
0.014142115910847982,0.00016988951714720069,0.002364953358968099,2.421432529751357e-05,5,8,10,"{'max_depth': 5, 'min_samples_leaf': 8, 'n_estimators': 10}",0.75,0.8208955223880597,0.8656716417910447,0.812189054726368,0.047622362485265274,9
